Date	3m	6m	1y	2y	3y	4y	5y	6y	7y	8y	9y	10y	11y	12y	13y	14y	15y	20y	30y
1/1/2004	4.21		4.443	4.449	4.451	4.743	4.724	4.832	4.95	5.083	5.094	5.135					5.585	5.907	6.123
1/2/2004	4.2		4.2	4.437	4.452	4.743	4.725	4.818	4.926	5.067	5.078	5.11					5.57	5.829	6.122
1/5/2004	4.17		4.482	4.588	4.627	4.743	4.822	4.937	5.068	5.077	5.096	5.114					5.557	5.851	6.075
1/6/2004	4.16		4.466	4.589	4.614	4.743	4.821	4.935	5.068	5.075	5.093	5.108					5.566	5.849	6.088
1/7/2004	4.18		4.482	4.586	4.63	4.743	4.838	4.951	5.083	5.089	5.11	5.122					5.624	5.959	6.087
1/8/2004	4.18		4.496	4.615	4.671	4.743	4.832	4.947	5.071	5.073	5.107	5.116					5.566	5.905	6.062
1/9/2004	4.2		4.487	4.602	4.662	4.743	4.832	4.948	5.073	5.078	5.115	5.117					5.559	5.931	6.046
1/12/2004	4.2		4.482	4.537	4.663	4.748	4.842	4.955	5.087	5.096	5.123	5.132					5.582	5.954	6.078
1/13/2004	4.2		4.524	4.567	4.686	4.755	4.849	4.959	5.093	5.111	5.129	5.14					5.603	5.99	6.08
1/14/2004	4.2		4.518	4.561	4.664	4.749	4.85	4.949	5.083	5.094	5.121	5.127					5.578	5.926	6.066
1/15/2004	4.23		4.51	4.554	4.682	4.752	4.85	4.955	5.091	5.107	5.127	5.132					5.594	5.955	6.088
1/16/2004	4.22		4.523	4.555	4.692	4.765	4.858	4.96	5.094	5.111	5.131	5.138					5.592	5.954	6.093
1/19/2004	4.22		4.529	4.594	4.691	4.773	4.872	4.959	5.091	5.111	5.13	5.139					5.586	5.954	6.095
1/20/2004	4.25		4.531	4.605	4.72	4.792	4.894	4.969	5.105	5.117	5.14	5.147					5.6	5.962	6.108
1/21/2004	4.28		4.521	4.577	4.719	4.793	4.888	4.966	5.101	5.114	5.135	5.144					5.599	5.959	6.098
1/22/2004	4.27		4.533	4.59	4.739	4.806	4.895	4.972	5.103	5.11	5.138	5.142					5.602	5.97	6.1
1/23/2004	4.28		4.532	4.586	4.75	4.812	4.9	4.974	5.104	5.112	5.135	5.14					5.6	5.97	6.107
1/27/2004	4.28		4.527	4.586	4.771	4.805	4.894	4.98	5.103	5.115	5.135	5.145					5.602	5.974	6.103
1/28/2004	4.3		4.538	4.589	4.786	4.804	4.898	4.993	5.111	5.123	5.143	5.15					5.609	5.978	6.106
1/29/2004	4.31		4.555	4.582	4.814	4.879	4.959	5.055	5.15	5.156	5.183	5.199					5.654	6.007	6.135
1/30/2004	4.32		4.573	4.614	4.833	4.893	4.975	5.064	5.165	5.177	5.202	5.202					5.685	6.021	6.144
2/3/2004	4.38		4.552	4.681	4.893	4.896	4.988	5.084	5.182	5.187	5.209	5.203					5.662	6.014	6.133
2/4/2004	4.36		4.522	4.708	4.861	4.878	4.949	5.06	5.139	5.15	5.155	5.173					5.628	5.951	6.106
2/5/2004	4.36		4.565	4.708	4.877	4.883	4.947	5.062	5.15	5.162	5.165	5.188					5.645	5.985	6.086
2/6/2004	4.32		4.549	4.711	4.888	4.886	4.988	5.092	5.169	5.187	5.185	5.21					5.689	5.983	6.122
2/7/2004	4.32		4.549	4.711	4.87	4.915	4.999	5.096	5.173	5.188	5.204	5.223					5.7	5.999	6.128
2/9/2004	4.34		4.556	4.701	4.857	4.911	4.992	5.099	5.175	5.189	5.212	5.218					5.681	5.996	6.147
2/10/2004	4.34		4.56	4.712	4.883	4.939	5.02	5.117	5.189	5.211	5.234	5.237					5.699	6.005	6.156
2/11/2004	4.35		4.596	4.712	4.894	4.987	5.103	5.184	5.213	5.265	5.288	5.275					5.756	6.005	6.21
2/12/2004	4.35		4.585	4.712	4.903	4.968	5.076	5.146	5.224	5.243	5.286	5.284					5.728	6.005	6.145
2/16/2004	4.41		4.615	4.769	5.013	5.016	5.121	5.213	5.282	5.296	5.333	5.329					5.819	6.088	6.193
2/17/2004	4.4		4.615	4.766	5.013	5.016	5.121	5.213	5.282	5.296	5.333	5.329					5.819	6.088	6.193
2/19/2004	4.38		4.61	4.741	4.973	5.029	5.097	5.201	5.276	5.296	5.339	5.327					5.798	6.055	6.178
2/20/2004	4.38		4.615	4.741	5.013	5.016	5.121	5.213	5.282	5.296	5.333	5.329					5.819	6.088	6.193
2/23/2004	4.36		4.551	4.741	4.917	4.947	5.023	5.121	5.224	5.236	5.264	5.257					5.721	5.996	6.148
2/24/2004	4.36		4.585	4.698	4.921	4.963	5.039	5.129	5.233	5.24	5.257	5.261					5.795	5.996	6.148
2/25/2004	4.33		4.554	4.698	4.889	4.932	5.018	5.113	5.216	5.23	5.247	5.239					5.684	5.996	6.134
2/26/2004	4.34		4.541	4.7	4.899	4.929	5.016	5.115	5.223	5.238	5.252	5.247					5.7	5.999	6.147
2/27/2004	4.32		4.525	4.7	4.892	4.941	5.04	5.151	5.24	5.255	5.269	5.267					5.731	6.001	6.147
2/28/2004	4.32		4.532	4.7	4.885	4.94	5.024	5.137	5.234	5.247	5.259	5.265					5.725	6.009	6.148
3/1/2004	4.29		4.504	4.744	4.868	4.92	5.014	5.126	5.229	5.244	5.254	5.261					5.724	6.009	6.15
3/3/2004	4.25		4.484	4.742	4.856	4.901	4.998	5.112	5.215	5.225	5.24	5.252					5.713	6.009	6.147
3/4/2004	4.2		4.462	4.729	4.85	4.874	4.974	5.076	5.195	5.204	5.227	5.235					5.688	5.984	6.075
3/5/2004	4.13		4.466	4.717	4.823	4.877	4.98	5.089	5.201	5.215	5.251	5.25					5.713	5.984	6.108
3/6/2004	4.13		4.45	4.717	4.811	4.853	4.961	5.061	5.179	5.2	5.223	5.233					5.681	5.984	6.094
3/8/2004	4.75		4.443	4.688	4.795	4.843	4.947	5.055	5.167	5.199	5.225	5.234					5.68	5.984	6.104
3/9/2004	4.16		4.437	4.708	4.779	4.819	4.92	5.023	5.147	5.185	5.215	5.227					5.67	5.97	6.09
3/10/2004	4.14		4.429	4.639	4.752	4.792	4.901	5.009	5.128	5.165	5.201	5.216					5.654	5.97	6.108
3/11/2004	4.2		4.435	4.622	4.763	4.786	4.907	5.011	5.132	5.17	5.211	5.222					5.666	5.97	6.111
3/12/2004	4.21		4.385	4.622	4.74	4.77	4.892	5.001	5.114	5.147	5.184	5.204					5.619	5.958	6.083
3/13/2004	4.21		4.468	4.622	4.745	4.758	4.868	4.99	5.09	5.134	5.178	5.187					5.593	5.94	6.076
3/15/2004	4.22		4.465	4.622	4.746	4.765	4.874	4.99	5.101	5.14	5.184	5.198					5.601	5.937	6.078
3/16/2004	4.25		4.454	4.59	4.753	4.772	4.874	4.994	5.11	5.145	5.195	5.202					5.606	5.942	6.08
3/17/2004	4.25		4.428	4.563	4.721	4.761	4.846	4.971	5.089	5.125	5.172	5.177					5.579	5.93	6.077
3/18/2004	4.25		4.435	4.588	4.703	4.74	4.839	4.97	5.082	5.122	5.17	5.177					5.572	5.921	6.064
3/19/2004	4.25		4.409	4.588	4.696	4.724	4.822	4.958	5.064	5.105	5.159	5.163					5.544	5.905	6.069
3/20/2004	4.25		4.388	4.588	4.685	4.729	4.81	4.939	5.07	5.107	5.152	5.162					5.549	5.905	6.047
3/22/2004	4.25		4.411	4.588	4.68	4.726	4.804	4.935	5.065	5.108	5.159	5.163					5.543	5.899	6.052
3/23/2004	4.24		4.423	4.566	4.686	4.736	4.8	4.946	5.077	5.12	5.173	5.179					5.565	5.899	6.062
3/24/2004	4.24		4.397	4.562	4.669	4.732	4.803	4.934	5.08	5.113	5.169	5.177					5.562	5.927	6.065
3/25/2004	4.23		4.41	4.558	4.657	4.724	4.8	4.924	5.072	5.109	5.167	5.169					5.55	5.911	6.065
