Date,IYTB7D Index,IYTB14D Index,IYTB2M Index,ZCYC003M Index,ZCYC006M Index,ZCYC009M Index,ZCYC012M Index,ZCYC015M Index,ZCYC018M Index,ZCYC021M Index,ZCYC024M Index,ZCYC027M Index,ZCYC030M Index,ZCYC033M Index,ZCYC036M Index,ZCYC039M Index,ZCYC042M Index,ZCYC045M Index,ZCYC048M Index,ZCYC051M Index,ZCYC054M Index,ZCYC057M Index,ZCYC060M Index,ZCYC063M Index,ZCYC066M Index,ZCYC069M Index,ZCYC072M Index,ZCYC075M Index,ZCYC078M Index,ZCYC081M Index,ZCYC084M Index,ZCYC087M Index,ZCYC090M Index,ZCYC093M Index,ZCYC096M Index,ZCYC099M Index,ZCYC102M Index,ZCYC105M Index,ZCYC108M Index,ZCYC111M Index,ZCYC114M Index,ZCYC117M Index,ZCYC120M Index,ZCYC123M Index,ZCYC126M Index,ZCYC129M Index,ZCYC132M Index,ZCYC135M Index,ZCYC138M Index,ZCYC141M Index,ZCYC144M Index,ZCYC147M Index,ZCYC150M Index,ZCYC153M Index,ZCYC156M Index,ZCYC159M Index,ZCYC162M Index,ZCYC165M Index,ZCYC168M Index,ZCYC171M Index,ZCYC174M Index,ZCYC177M Index,ZCYC180M Index,ZCYC183M Index,ZCYC186M Index,ZCYC189M Index,ZCYC192M Index,ZCYC195M Index,ZCYC198M Index,ZCYC201M Index,ZCYC204M Index,ZCYC207M Index,ZCYC210M Index,ZCYC213M Index,ZCYC216M Index,ZCYC219M Index,ZCYC222M Index,ZCYC225M Index,ZCYC228M Index,ZCYC231M Index,ZCYC234M Index,ZCYC237M Index,ZCYC240M Index,ZCYC243M Index,ZCYC246M Index,ZCYC249M Index,ZCYC252M Index,ZCYC255M Index,ZCYC258M Index,ZCYC261M Index,ZCYC264M Index,ZCYC267M Index,ZCYC270M Index,ZCYC273M Index,ZCYC276M Index,ZCYC279M Index,ZCYC282M Index,ZCYC285M Index,ZCYC288M Index,ZCYC291M Index,ZCYC294M Index,ZCYC297M Index,ZCYC300M Index,ZCYC303M Index,ZCYC306M Index,ZCYC309M Index,ZCYC312M Index,ZCYC315M Index,ZCYC318M Index,ZCYC321M Index,ZCYC324M Index,ZCYC327M Index,ZCYC330M Index,ZCYC333M Index,ZCYC336M Index,ZCYC339M Index,ZCYC342M Index,ZCYC345M Index,ZCYC348M Index,ZCYC351M Index,ZCYC354M Index,ZCYC357M Index,ZCYC360M Index
1/1/2004,4.7571,4.1812,4.1876,8.0836,4.2117,4.2536,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/2/2004,4.7571,4.1581,4.1683,8.0836,4.2,4.2315,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/3/2004,4.7571,4.1581,4.1683,8.0836,4.2,4.2315,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/4/2004,4.7571,4.1581,4.1683,8.0836,4.2,4.2315,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/5/2004,4.7571,4.16,4.1619,8.0836,4.1726,4.23,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/6/2004,4.7571,4.1439,4.145,8.0836,4.1615,4.23,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/7/2004,4.7571,4.1757,4.1767,8.0836,4.1841,4.2181,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/8/2004,4.7571,4.1658,4.1668,8.0836,4.1763,4.225,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/9/2004,4.7571,4.177,4.182,8.0836,4.1995,4.225,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
1/10/2004,4.7571,4.177,4.182,8.0836,4.1995,4.225,7.25,7.29,7.32,7.35,7.38,7.41,7.44,7.47,7.5,7.52,7.54,7.55,7.55,7.54,7.54,7.55,7.59,7.65,7.74,7.82,7.88,7.92,7.95,7.96,7.96,7.96,7.95,7.94,7.94,7.93,7.93,7.93,7.94,7.94,7.95,7.96,7.98,7.99,8.01,8.02,8.04,8.06,8.09,8.11,8.13,8.16,8.18,8.21,8.23,8.26,8.28,8.31,8.33,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.59,8.61,8.63,8.65,8.67,8.69,8.7,8.72,8.73,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.82,8.83,8.83,8.84,8.84,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.84,8.84,8.84,8.83,8.83,8.83,8.82,8.82,8.81,8.81,8.8,8.79,8.79,8.78,8.77,8.77,8.76,8.75,8.74,8.74,8.73,8.72
